name,identity,orcid,agile_papers,giscience_papers,total_papers,years
Ioannis Giannopoulos,orcid:0000-0002-2556-5230,0000-0002-2556-5230,5,6,11,"2016,2018,2019,2020,2021,2023,2024"
Martin Raubal,orcid:0000-0001-5951-6835,0000-0001-5951-6835,7,4,11,"2016,2017,2018,2019,2020,2021,2022,2023"
Krzysztof Janowicz,orcid:0009-0003-1968-887X,0009-0003-1968-887X,8,2,10,"2017,2018,2019,2020,2021,2022"
Henry Martin,orcid:0000-0002-0456-8539,0000-0002-0456-8539,5,3,8,"2018,2019,2020,2021,2022,2023"
Dominik Bucher,orcid:0000-0001-9824-5388,0000-0001-9824-5388,3,3,6,"2018,2019,2020,2021"
Gengchen Mai,orcid:0000-0002-7818-7309,0000-0002-7818-7309,5,1,6,"2018,2019,2020,2021,2022"
Carsten Keßler,orcid:0000-0002-9724-820X,0000-0002-9724-820X,4,1,5,"2016,2018,2019,2020,2022"
Jan‐Henrik Haunert,orcid:0000-0001-8005-943X,0000-0001-8005-943X,1,4,5,"2016,2018,2020,2021"
Markus Kattenbeck,orcid:0000-0001-6028-0428,0000-0001-6028-0428,1,4,5,"2018,2020,2021"
Stephan Winter,orcid:0000-0002-3403-6939,0000-0002-3403-6939,4,1,5,"2017,2019,2020,2023"
Alexander Zipf,orcid:0000-0003-4916-9838,0000-0003-4916-9838,2,2,4,"2021,2023"
Christian Kray,orcid:0000-0002-4199-8976,0000-0002-4199-8976,3,1,4,"2017,2021,2023,2024"
Negar Alinaghi,orcid:0000-0001-6594-4481,0000-0001-6594-4481,2,2,4,"2021,2023,2024"
Rui Zhu,orcid:0000-0002-8910-9445,0000-0002-8910-9445,3,1,4,"2017,2018,2019,2020"
Sabine Timpf,orcid:0000-0002-7964-4110,0000-0002-7964-4110,3,1,4,"2018,2022,2023,2024"
Arun Sharma,orcid:0000-0002-6908-6960,0000-0002-6908-6960,1,2,3,"2020,2022,2023"
Eva Nuhn,orcid:0000-0003-2443-8122,0000-0003-2443-8122,2,1,3,"2018,2022,2023"
Grant McKenzie,orcid:0000-0003-3247-2777,0000-0003-3247-2777,2,1,3,"2017,2020,2023"
Jayant Gupta,orcid:0000-0001-7028-9928,0000-0001-7028-9928,1,2,3,"2020,2022,2023"
Martin Werner,orcid:0000-0002-6951-8022,0000-0002-6951-8022,2,1,3,"2021,2023,2024"
Sven Lautenbach,orcid:0000-0003-1825-9996,0000-0003-1825-9996,1,2,3,"2018,2021"
Sébastien Mustière,orcid:0000-0002-0272-3320,0000-0002-0272-3320,2,1,3,"2018,2019,2020"
W. Kühn,orcid:0000-0002-4491-0132,0000-0002-4491-0132,1,2,3,"2016,2018,2019"
Arnaud Le-Guilcher,orcid:0000-0001-6673-6158,0000-0001-6673-6158,1,1,2,"2018,2023"
Barbara Hofer,orcid:0000-0001-7078-3766,0000-0001-7078-3766,1,1,2,"2019,2021"
Bernd Ludwig,orcid:0000-0003-3599-2081,0000-0003-3599-2081,1,1,2,"2020,2021"
Bo Yan,orcid:0000-0002-4248-7203,0000-0002-4248-7203,1,1,2,"2018,2019"
"Dax, Gabriel",orcid:0000-0002-1511-5770,0000-0002-1511-5770,1,1,2,"2021,2023"
Jens Ingensand,orcid:0000-0003-3330-4986,0000-0003-3330-4986,1,1,2,"2018,2023"
Johannes Oehrlein,orcid:0000-0003-0478-4298,0000-0003-0478-4298,1,1,2,"2018,2020"
"Jonietz, David",name:david jonietz,,1,1,2,"2018,2020"
Majid Farhadloo,orcid:0000-0001-8602-0165,0000-0001-8602-0165,1,1,2,"2020,2022"
Maria Vasardani,orcid:0000-0003-0208-0561,0000-0003-0208-0561,1,1,2,"2018,2019"
Markus Konkol,orcid:0000-0001-6651-0976,0000-0001-6651-0976,1,1,2,"2017,2021"
Nina Wiedemann,orcid:0000-0002-8160-7634,0000-0002-8160-7634,1,1,2,"2022,2023"
Ourania Kounadi,orcid:0000-0002-5998-7343,0000-0002-5998-7343,1,1,2,"2020,2021"
Shashi Shekhar,orcid:0000-0002-3191-3879,0000-0002-3191-3879,1,1,2,"2020,2022"
Yanan Xin,orcid:0000-0003-3866-821X,0000-0003-3866-821X,1,1,2,"2021,2022"
